adapter_type,model,variant,seed,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path
none,ankh,lm_only,11,0.792455621301775,0.3059676946867719,0.8076923076923077,0.3373493975903614,0.2684828598682889,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_11/predictions.csv
none,ankh,lm_only,22,0.7701183431952663,0.2457984491205611,0.7552447552447552,0.3396226415094339,0.2906721370584665,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_22/predictions.csv
none,ankh,lm_only,33,0.7747041420118344,0.2617748182522805,0.6118881118881119,0.2745098039215686,0.2314370668913329,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_33/predictions.csv
none,ankh,lm_only,44,0.7337278106508877,0.2535898213801416,0.6818181818181818,0.272,0.2045239970259654,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_44/predictions.csv
none,ankh,lm_only,55,0.801923076923077,0.3239855945664596,0.6468531468531469,0.2733812949640288,0.2171245641842326,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_only/seed_55/predictions.csv
none,ankh,lm_pssm,11,0.921301775147929,0.5831175330918107,0.9090909090909092,0.5185185185185185,0.4687936026232281,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_11/predictions.csv
none,ankh,lm_pssm,22,0.92396449704142,0.6016229313167452,0.8846153846153846,0.5074626865671642,0.4606572230550741,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_22/predictions.csv
none,ankh,lm_pssm,33,0.9149408284023668,0.5867098149032615,0.9230769230769232,0.4210526315789473,0.4191289774719602,0.7,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_33/predictions.csv
none,ankh,lm_pssm,44,0.9378698224852072,0.6362742353419231,0.8776223776223776,0.5333333333333333,0.5017921897608469,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_44/predictions.csv
none,ankh,lm_pssm,55,0.9326923076923076,0.6198433093666718,0.916083916083916,0.5,0.4564354645876384,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/ankh/lm_pssm/seed_55/predictions.csv
none,esm2,lm_only,11,0.9357988165680472,0.7100016343761908,0.944055944055944,0.7142857142857143,0.6856034446626806,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_11/predictions.csv
none,esm2,lm_only,22,0.9328402366863906,0.7231680245574644,0.951048951048951,0.72,0.6938937596046822,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_22/predictions.csv
none,esm2,lm_only,33,0.9431952662721892,0.7564329749858835,0.944055944055944,0.7037037037037037,0.673425730752415,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_33/predictions.csv
none,esm2,lm_only,44,0.938757396449704,0.702653755493003,0.8496503496503497,0.5057471264367817,0.4885650525412793,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_44/predictions.csv
none,esm2,lm_only,55,0.9430473372781064,0.7216133210362852,0.951048951048951,0.7083333333333334,0.6846531968814576,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_only/seed_55/predictions.csv
none,esm2,lm_pssm,11,0.9254437869822486,0.5818761603047319,0.902097902097902,0.4814814814814814,0.4278671769973907,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_11/predictions.csv
none,esm2,lm_pssm,22,0.9331360946745562,0.616868773452236,0.9055944055944056,0.5263157894736842,0.4765998059998177,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_22/predictions.csv
none,esm2,lm_pssm,33,0.9263313609467456,0.5899522431329572,0.9230769230769232,0.4210526315789473,0.4191289774719602,0.7,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_33/predictions.csv
none,esm2,lm_pssm,44,0.9378698224852072,0.629354976328697,0.9195804195804196,0.5964912280701754,0.5548475353430713,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_44/predictions.csv
none,esm2,lm_pssm,55,0.9340236686390532,0.6282440007250328,0.9195804195804196,0.5106382978723404,0.47053333277322,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/esm2/lm_pssm/seed_55/predictions.csv
none,protbert,lm_only,11,0.9174556213017752,0.6041987662276088,0.9125874125874126,0.4897959183673469,0.443184645702903,0.6,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_11/predictions.csv
none,protbert,lm_only,22,0.8952662721893492,0.4982972130995255,0.8286713286713286,0.4615384615384615,0.4379810020562533,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_22/predictions.csv
none,protbert,lm_only,33,0.908284023668639,0.6188291201684152,0.8531468531468531,0.4878048780487805,0.4569681343117893,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_33/predictions.csv
none,protbert,lm_only,44,0.9099112426035504,0.6231090127726369,0.7867132867132867,0.4077669902912621,0.3838859479749572,0.1,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_44/predictions.csv
none,protbert,lm_only,55,0.9066568047337278,0.6144760748949948,0.8741258741258742,0.5135135135135135,0.4763397000082205,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_only/seed_55/predictions.csv
none,protbert,lm_pssm,11,0.9285502958579882,0.5847478213741578,0.9090909090909092,0.5185185185185185,0.4687936026232281,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_11/predictions.csv
none,protbert,lm_pssm,22,0.9255917159763314,0.6000381845687385,0.8846153846153846,0.5074626865671642,0.4606572230550741,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_22/predictions.csv
none,protbert,lm_pssm,33,0.9171597633136096,0.5811059056993927,0.9230769230769232,0.4210526315789473,0.4191289774719602,0.7,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_33/predictions.csv
none,protbert,lm_pssm,44,0.939792899408284,0.6492823770559971,0.8811188811188811,0.5405405405405406,0.5088846484559871,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_44/predictions.csv
none,protbert,lm_pssm,55,0.9344674556213016,0.6175982759310275,0.9195804195804196,0.5106382978723404,0.47053333277322,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/protbert/lm_pssm/seed_55/predictions.csv
none,prott5,lm_only,11,0.9291420118343194,0.7352649296678284,0.9230769230769232,0.6071428571428571,0.5665249516423203,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_11/predictions.csv
none,prott5,lm_only,22,0.9335798816568046,0.7129662909941674,0.9125874125874126,0.5454545454545454,0.498165156090347,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_22/predictions.csv
none,prott5,lm_only,33,0.9251479289940828,0.7177302888893564,0.9370629370629372,0.625,0.59336610396393,0.6,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_33/predictions.csv
none,prott5,lm_only,44,0.9396449704142013,0.7613847743097112,0.8741258741258742,0.5263157894736842,0.4948891332786446,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_44/predictions.csv
none,prott5,lm_only,55,0.9257396449704142,0.7195197907540232,0.951048951048951,0.6818181818181818,0.6692889967674875,0.65,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_only/seed_55/predictions.csv
none,prott5,lm_pssm,11,0.927810650887574,0.5800906551593739,0.902097902097902,0.5172413793103449,0.4665087495276233,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_11/predictions.csv
none,prott5,lm_pssm,22,0.9263313609467456,0.6117119969759677,0.8846153846153846,0.5217391304347826,0.4795063177244678,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_22/predictions.csv
none,prott5,lm_pssm,33,0.9150887573964496,0.5916667273986757,0.9195804195804196,0.3783783783783784,0.3794733192202055,0.7,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_33/predictions.csv
none,prott5,lm_pssm,44,0.9387573964497042,0.641010972288705,0.8811188811188811,0.5405405405405406,0.5088846484559871,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_44/predictions.csv
none,prott5,lm_pssm,55,0.934319526627219,0.6292703481933994,0.9125874125874126,0.4897959183673469,0.44318464570290306,0.39999999999999997,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_no_lora/prott5/lm_pssm/seed_55/predictions.csv
